Company,Email,Website,Batch,Vertical,Notes
OneStop,support@askonestop.com,https://www.askonestop.com,Summer 2025,AI,YC Summer 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Onlook,contact@onlook.com,https://onlook.com/,Winter 2025,AI/DevTools,YC Winter 2025 · AI/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Ooak Data,contact@ooakdata.com,https://ooakdata.com/,Summer 2026,AI,YC Summer 2026 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Parasma,careers@parasma.com,https://parasma.com,Summer 2026,ML,YC Summer 2026 · ML · hiring · cold email for opportunity; ask to forward to hiring manager
Parsewise,sales@parsewise.ai,https://parsewise.ai,Spring 2025,AI,YC Spring 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Pelica,founders@pelica.com,https://www.pelica.com/,Spring 2025,AI,YC Spring 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Plexe,hello@plexe.ai,https://plexe.ai,Spring 2025,ML,YC Spring 2025 · ML · hiring · cold email for opportunity; ask to forward to hiring manager
Proliferate,support@proliferate.com,https://proliferate.com?utm_source=yc&utm_medium=referral&utm_campaign=profile,Summer 2025,AI/DevTools,YC Summer 2025 · AI/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
QualGent,sales@qualgent.ai,https://www.qualgent.ai,Spring 2025,AI,YC Spring 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
RamAIn,founders@ramain.ai,https://ramain.ai,Winter 2026,AI,YC Winter 2026 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Rational,founders@rational.to,https://rational.to,Summer 2026,AI,YC Summer 2026 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Salus,founders@usesalus.ai,https://www.usesalus.ai/,Winter 2026,AI/DevTools,YC Winter 2026 · AI/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Scout,hey@scoutforschools.com,https://scoutforschools.com/,Winter 2025,AI,YC Winter 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Sitefire,info@sitefire.ai,https://sitefire.ai,Winter 2026,AI,YC Winter 2026 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Spott,manu@spott.io,https://spott.io,Winter 2025,AI,YC Winter 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Structured AI,info@getstructured.ai,https://www.getstructured.ai/,Fall 2025,AI,YC Fall 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Superset,founders@superset.sh,https://www.superset.sh/,Spring 2026,AI/DevTools,YC Spring 2026 · AI/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Trata,hello@trytrata.com,https://www.trytrata.com/,Winter 2025,AI,YC Winter 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
a0.dev,founders@a0.dev,https://a0.dev,Winter 2025,AI/DevTools,YC Winter 2025 · AI/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
throxy,pablo@throxy.com,https://throxy.com/,Spring 2025,AI,YC Spring 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
truthsystems,info@truthsystems.ai,https://www.truthsystems.ai,Summer 2025,AI,YC Summer 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Fenrock AI,contact@fenrock.ai,https://fenrock.ai/,Winter 2026,AI,YC Winter 2026 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Piris Labs,contact@pirislabs.io,https://pirislabs.io/,Winter 2026,AI,YC Winter 2026 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
"PerfectBit, Inc.",research@perfectbit.ai,https://perfectbit.ai,Spring 2026,AI/ML,YC Spring 2026 · AI/ML · hiring · cold email for opportunity; ask to forward to hiring manager
Servo7,pieter@servo7.com,https://servo7.com,Winter 2026,AI,YC Winter 2026 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Simantic,founders@simantic.dev,https://simantic.dev,Fall 2026,DevTools,YC Fall 2026 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Leaping AI,jane@leapingai.com,https://www.leapingai.com,Winter 2025,AI,YC Winter 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
HUD,founders@hud.ai,https://www.hud.ai,Winter 2025,AI,YC Winter 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
DiligenceSquared,founders@diligencesquared.com,https://diligencesquared.com/,Fall 2025,AI,YC Fall 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Theorem,founders@theorem.dev,https://theorem.dev,Spring 2025,ML,YC Spring 2025 · ML · hiring · cold email for opportunity; ask to forward to hiring manager
Allus AI,contact@allus.ai,https://allus.ai,Fall 2025,ML,YC Fall 2025 · ML · hiring · cold email for opportunity; ask to forward to hiring manager
cubic,contact@cubic.dev,https://cubic.dev/,Spring 2025,DevTools,YC Spring 2025 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Confident AI,hiring@confident-ai.com,https://confident-ai.com,Winter 2025,DevTools,YC Winter 2025 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Tekton Dynamics,careers@tekton-dynamics.com,https://www.tekton-dynamics.com,Winter 2024,AI,YC Winter 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Scritch,team@scritchai.com,https://www.scritchai.com,Winter 2024,AI,YC Winter 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Pivot Robotics,sales@pivotrobotics.com,https://pivotrobotics.com,Winter 2024,AI,YC Winter 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Duckie,hello@duckie.ai,https://duckie.ai/,Winter 2024,AI,YC Winter 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Momentic,support@momentic.ai,https://momentic.ai,Winter 2024,AI/DevTools,YC Winter 2024 · AI/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Moss,contact@moss.dev,https://moss.dev,Fall 2025,DevTools,YC Fall 2025 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
PointOne,team@pointone.com,https://pointone.com/,Winter 2024,AI,YC Winter 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Andy AI,hello@with-andy.com,https://with-andy.com,Winter 2024,AI,YC Winter 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Maitai,sales@trymaitai.com,https://trymaitai.com,Summer 2024,AI/DevTools,YC Summer 2024 · AI/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Tamarind Bio,info@tamarind.bio,https://www.tamarind.bio,Winter 2024,AI,YC Winter 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
DryMerge,founders@drymerge.com,https://www.drymerge.com,Winter 2024,AI,YC Winter 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Arini,sales@arini.ai,https://www.arini.ai,Winter 2024,AI,YC Winter 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Coval,brooke@coval.dev,https://coval.dev,Summer 2024,AI/DevTools,YC Summer 2024 · AI/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Ellipsis,team@ellipsis.dev,https://ellipsis.dev,Winter 2024,AI/ML/DevTools,YC Winter 2024 · AI/ML/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Educato,info@educato.com,https://www.educato.com/,Summer 2024,AI,YC Summer 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Openbenchmarks,founders@openbenchmarks.com,https://openbenchmarks.com,Fall 2024,AI,YC Fall 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Anthrogen,founders@anthrogen.com,https://anthrogen.com,Summer 2024,AI,YC Summer 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Elevate,hello@useelevate.dev,https://www.useelevate.dev/,Summer 2024,AI,YC Summer 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Overlap,support@overlap.ai,https://www.overlap.ai,Summer 2024,AI,YC Summer 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Assembly HOA,hello@assemblyhoa.com,https://assemblyhoa.com,Summer 2024,AI,YC Summer 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Clearly AI,marketing@clearly-ai.com,https://clearly-ai.com,Summer 2024,AI,YC Summer 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Manufact,founders@manufact.com,https://manufact.com,Summer 2025,DevTools,YC Summer 2025 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Arva AI,hello@arva.ai,https://www.arva.ai,Summer 2024,AI,YC Summer 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Anara,support@anara.com,https://anara.com,Summer 2024,AI,YC Summer 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
x1,founders@x1.new,https://x1.new/,Fall 2024,DevTools,YC Fall 2024 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Zeit AI,contact@zeit-ai.com,https://zeit-ai.com/,Summer 2024,AI,YC Summer 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Rove,support@rove.com,https://rove.com,Winter 2024,AI,YC Winter 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Entangl,info@entangl.com,https://www.entangl.com/,Summer 2024,AI,YC Summer 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Keye,contact@keye.co,https://www.keye.co,Fall 2024,AI,YC Fall 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Ohm,hello@ohm.ai,https://www.ohm.ai,Winter 2023,AI,YC Winter 2023 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
FINNY AI,careers@finny.com,https://www.finny.com/,Summer 2024,ML,YC Summer 2024 · ML · hiring · cold email for opportunity; ask to forward to hiring manager
Ryvn,founders@ryvn.ai,https://ryvn.ai,Fall 2024,DevTools,YC Fall 2024 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Ocular AI,sales@useocular.com,https://useocular.com,Winter 2024,ML,YC Winter 2024 · ML · hiring · cold email for opportunity; ask to forward to hiring manager
Silurian,contact@silurian.ai,https://silurian.ai/,Summer 2024,AI,YC Summer 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Spur,contact@spurtest.com,https://www.spurtest.com/,Summer 2024,DevTools,YC Summer 2024 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Respan,careers@respan.ai,https://respan.ai,Winter 2024,DevTools,YC Winter 2024 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Mem0,support@mem0.ai,https://mem0.ai,Summer 2024,DevTools,YC Summer 2024 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
SuperKalam,hello@superkalam.com,https://superkalam.com,Winter 2023,AI,YC Winter 2023 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Glass Health,contact@glass.health,https://glass.health,Winter 2023,AI,YC Winter 2023 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Boundary,vbv@boundaryml.com,https://www.boundaryml.com,Winter 2023,AI/ML/DevTools,YC Winter 2023 · AI/ML/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Berry,sales@berryai.com,https://berryai.com/,Winter 2023,AI,YC Winter 2023 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Unsloth AI,support@unsloth.ai,https://unsloth.ai/,Summer 2024,DevTools,YC Summer 2024 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Vendora,contact@vendora.io,https://www.vendora.io/,Winter 2023,AI,YC Winter 2023 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Silimate,thomas@silimate.com,https://www.silimate.com,Summer 2023,AI/DevTools,YC Summer 2023 · AI/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Sweep,support@sweep.dev,https://sweep.dev/,Summer 2023,AI/DevTools,YC Summer 2023 · AI/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Roame,press@roame.travel,https://roame.travel/,Summer 2023,AI,YC Summer 2023 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Tempo,sales@tempo.new,https://www.tempo.new,Summer 2023,AI/DevTools,YC Summer 2023 · AI/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Subsets,support@subsets.com,https://www.subsets.com,Summer 2023,ML,YC Summer 2023 · ML · hiring · cold email for opportunity; ask to forward to hiring manager
Morph,info@morphllm.com,https://morphllm.com,Summer 2023,AI/DevTools,YC Summer 2023 · AI/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Kino AI,hello@kino.ai,https://kino.ai,Summer 2023,AI,YC Summer 2023 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Diffuse Bio,info@diffuse.bio,http://diffuse.bio,Winter 2023,ML,YC Winter 2023 · ML · hiring · cold email for opportunity; ask to forward to hiring manager
IcePanel,mail@icepanel.io,https://icepanel.io,Winter 2023,DevTools,YC Winter 2023 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Frontier Computing,hiring@frontier.site,https://frontier.site,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
FinalDose,founders@finaldose.ai,https://finaldose.ai/,Spring 2026,AI,YC Spring 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Visibl Semiconductors,founders@visiblsemi.com,https://visiblsemi.com,Winter 2026,AI,YC Winter 2026 · AI · cold email for opportunity; ask to forward to hiring manager
SID,join@sid.ai,https://www.sid.ai,Summer 2023,AI,YC Summer 2023 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Assemble,careers@assemble.ai,https://www.assemble.ai/,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Terminal,careers@withterminal.com,https://www.withterminal.com/,Summer 2023,DevTools,YC Summer 2023 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Ashr,rohan@ashr.io,https://ashr.io,Winter 2026,AI,YC Winter 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Infisical,team@infisical.com,https://infisical.com,Winter 2023,DevTools,YC Winter 2023 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Agentic Fabriq,support@agenticfabriq.com,https://www.agenticfabriq.com,Winter 2026,AI,YC Winter 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Inkeep,support@inkeep.com,https://inkeep.com,Winter 2023,DevTools,YC Winter 2023 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Rimward,careers@rimward.ai,https://rimward.ai/,Summer 2023,ML,YC Summer 2023 · ML · hiring · cold email for opportunity; ask to forward to hiring manager
Poth Labs,contact@pothlabs.com,https://pothlabs.com,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Twolabs,team@twolabs.ai,https://www.twolabs.ai,Spring 2026,AI,YC Spring 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Collar,hello@usecollarai.com,https://usecollarai.com,Fall 2026,AI,YC Fall 2026 · AI · cold email for opportunity; ask to forward to hiring manager
rekursiv.ai,contact@rekursiv.ai,https://rekursiv.ai,Summer 2026,AI/ML,YC Summer 2026 · AI/ML · cold email for opportunity; ask to forward to hiring manager
222,contact@222.place,https://222.place,Winter 2023,ML,YC Winter 2023 · ML · hiring · cold email for opportunity; ask to forward to hiring manager
Cekura,support@cekura.ai,https://www.cekura.ai/,Fall 2024,DevTools,YC Fall 2024 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Cedana,contact@cedana.ai,https://cedana.ai,Summer 2023,DevTools,YC Summer 2023 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Nowadays,events@nowadays.ai,http://nowadays.ai/,Summer 2023,AI,YC Summer 2023 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Instinct,hello@instinct.xyz,https://instinct.xyz,Winter 2026,AI/ML,YC Winter 2026 · AI/ML · cold email for opportunity; ask to forward to hiring manager
Datoric,service@datoric.com,https://www.datoric.com,Summer 2026,AI/ML,YC Summer 2026 · AI/ML · cold email for opportunity; ask to forward to hiring manager
Artie,hi@artie.com,https://www.artie.com/,Summer 2023,DevTools,YC Summer 2023 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Linzumi,hello@linzumi.com,https://linzumi.com,Spring 2026,AI/DevTools,YC Spring 2026 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Omnistrate,careers@omnistrate.com,http://www.omnistrate.com,Winter 2023,DevTools,YC Winter 2023 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Erinys,founders@erinys.ai,https://erinys.ai,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Userlens,hai@userlens.io,https://userlens.io,Spring 2026,AI,YC Spring 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Light Anchor,founders@lightanchor.ai,https://lightanchor.ai,Spring 2026,AI,YC Spring 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Illume Labs,founders@illumelabs.ai,https://www.illumelabs.ai,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Degla Inc,ceo@degla.ai,https://degla.ai,Fall 2026,AI,YC Fall 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Mosaic,contact@mosaic.inc,https://mosaic.inc,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Audun,hello@audun.co,https://audun.co,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Talking Computers,zayaan@talkingcomputers.ai,https://talkingcomputers.ai,Winter 2026,AI,YC Winter 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Palisade,support@palisade.run,https://palisade.run,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Definite,contact@usedefinite.com,https://www.usedefinite.com,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Tenor,adam@heytenor.com,https://heytenor.com/,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Agnost AI,founders@agnost.ai,https://agnost.ai,Summer 2026,AI/ML/DevTools,YC Summer 2026 · AI/ML/DevTools · cold email for opportunity; ask to forward to hiring manager
Last Accounting Company,hello@lastaccountingcompany.com,https://lastaccountingcompany.com/,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Ekho Labs,contact@ekholabs.com,https://ekholabs.com/,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Perceptron ML,founders@perceptronml.com,https://perceptronml.com,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
hardware intelligence,hi@hardwareintelligence.ai,https://hardwareintelligence.ai,Summer 2026,AI/DevTools,YC Summer 2026 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
herdr,hey@herdr.dev,https://herdr.dev/,Fall 2026,AI/DevTools,YC Fall 2026 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Prized,founders@prized.dev,https://prized.dev,Summer 2026,DevTools,YC Summer 2026 · DevTools · cold email for opportunity; ask to forward to hiring manager
Armature,founders@armature.tech,https://armature.tech,Spring 2026,AI,YC Spring 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Rex,hello@rex.inc,https://www.rex.inc,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Lantern AI,team@lantern.md,https://www.lantern.md,Fall 2026,AI,YC Fall 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Velum Labs,founders@velum-labs.com,https://www.velum-labs.com/,Winter 2026,ML,YC Winter 2026 · ML · cold email for opportunity; ask to forward to hiring manager
Stormy,founders@stormy.ai,https://stormy.ai,Summer 2025,AI,YC Summer 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Enjamb Labs,founders@enjamb.ai,https://www.enjamb.ai,Spring 2026,AI,YC Spring 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Riften,info@riften.ai,https://riften.ai,Summer 2026,AI/DevTools,YC Summer 2026 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Belvedir,founders@belvedir.ai,https://belvedir.ai/,Summer 2026,AI/ML,YC Summer 2026 · AI/ML · cold email for opportunity; ask to forward to hiring manager
Isengard Industries Inc,hello@isengardindustries.com,http://isengardindustries.com/,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Studio,team@trystudio.ai,https://trystudio.ai,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Akon Labs,founders@akonlabs.com,https://akonlabs.com,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Fabraix,founders@fabraix.com,https://fabraix.com,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Vetnio,info@vetnio.com,https://vetnio.com/,Winter 2025,AI,YC Winter 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Inth,support@inth.com,https://inth.com,Spring 2026,DevTools,YC Spring 2026 · DevTools · cold email for opportunity; ask to forward to hiring manager
Rasyn,founders@rasyn.ai,https://www.rasyn.ai/,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Trope,matthew@trope.ai,https://trope.ai,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Bizmark,rodrigo@bizmark.ai,https://bizmark.ai,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Alkera AI,contact@alkera.ai,https://alkera.ai,Summer 2026,AI/DevTools,YC Summer 2026 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Asteroid,founders@asteroid.ai,https://asteroid.ai,Winter 2025,AI,YC Winter 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Computable,team@getcomputable.com,https://getcomputable.com,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Lucidic AI,team@lucidic.ai,https://lucidic.ai,Winter 2025,AI/DevTools,YC Winter 2025 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Donkey,hello@donkey.trade,https://donkey.trade,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Qlo,founders@getqlo.com,https://www.getqlo.com/,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Arbital,support@arbital.xyz,https://www.arbital.xyz,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
TovenAI,info@toven.ai,https://toven.ai,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Risklytics,hello@risklytics.ai,https://www.risklytics.ai/,Summer 2026,AI/ML,YC Summer 2026 · AI/ML · cold email for opportunity; ask to forward to hiring manager
Swerve,founders@getswerve.com,https://www.getswerve.com/,Winter 2025,AI,YC Winter 2025 · AI · cold email for opportunity; ask to forward to hiring manager
neoncoral,stealth@neoncoral.inc,http://neoncoral.inc,Spring 2025,AI,YC Spring 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Marengo,contact@marengox.com,https://marengox.com,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Executor,rhys@executor.sh,https://executor.sh,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Grocalo,support@grocalo.com,https://grocalo.com/,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Cactus Compute,founders@cactuscompute.com,https://www.cactuscompute.com/,Summer 2025,AI/DevTools,YC Summer 2025 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Moving Atoms,founder@movingatoms.ai,https://movingatoms.ai/,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
hiloop,founders@hiloop.ai,https://hiloop.ai,Summer 2026,AI/ML/DevTools,YC Summer 2026 · AI/ML/DevTools · cold email for opportunity; ask to forward to hiring manager
IRBC,support@irbc.com,https://irbc.com/,Spring 2025,AI,YC Spring 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Financial Datasets,support@financialdatasets.ai,https://financialdatasets.ai/,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Lumeria,contact@lumeria.skin,https://lumeria.skin,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Allia Health,jane@allia.health,https://allia.health/,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Experiential Labs,silen@experientiallabs.ai,https://experientiallabs.ai,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Billow AI Labs,joan@thebillow.ai,https://thebillow.ai/,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Traverse,founders@traverse.so,https://www.traverse.so,Winter 2026,ML,YC Winter 2026 · ML · cold email for opportunity; ask to forward to hiring manager
