Company,Email,Person,Title,City,State,Category,Notes
Airbus,,,,Bengaluru,Karnataka,Aerospace GCC,Aerospace GCC; applies via careers portal (no public email) - https://airbus.com/careers; offices: Bengaluru
Akamai,rmahadev@akamai.com,Team,Contact,Bengaluru,Karnataka,Tech GCC,email rmahadev@akamai.com from existing repo list (domain match); Tech GCC; applies via careers portal (no public email) - https://akamai.com/careers; offices: Bengaluru/Chennai
Albertsons,,,,Bengaluru,Karnataka,Retail-tech GCC,Retail-tech GCC; applies via careers portal (no public email) - https://albertsons.com/careers; offices: Bengaluru
Allstate,,,,Bengaluru,Karnataka,Insurance GCC,Insurance GCC; applies via careers portal (no public email) - https://allstate.com/careers; offices: Bengaluru/Pune
Ally Financial,,,,Bengaluru,Karnataka,BFSI GCC,BFSI GCC; applies via careers portal (no public email) - https://ally.com/careers; offices: Bengaluru
Amadeus,mayank.damania@amadeus.com,Team,Contact,Bengaluru,Karnataka,Travel-tech GCC,email mayank.damania@amadeus.com from existing repo list (domain match); Travel-tech GCC; applies via careers portal (no public email) - https://amadeus.com/careers; offices: Bengaluru
Amazon,psusagar@amazon.com,Team,Contact,Bengaluru,Karnataka,Product/tech,email psusagar@amazon.com from existing repo list (domain match); Product/tech; applies via careers portal (no public email) - https://www.amazon.jobs/en/search?base_query=intern&loc_query=India; offices: Bengaluru/Hyderabad/Chennai
AMD,india@amd.com,Team,Contact,Bengaluru,Karnataka,Semiconductor,email india@amd.com from existing repo list (domain match); Semiconductor; applies via careers portal (no public email) - https://careers.amd.com/careers-home; offices: Bengaluru/Hyderabad
Analog Devices,india_careers@analog.com,Team,Contact,Bengaluru,Karnataka,Semiconductor,email india_careers@analog.com from existing repo list (domain match); Semiconductor; applies via careers portal (no public email) - https://analogdevices.wd1.myworkdayjobs.com/External; offices: Bengaluru/Hyderabad
ANZ,anzithrd@anz.com,Team,Contact,Bengaluru,Karnataka,BFSI GCC,email anzithrd@anz.com from existing repo list (domain match); BFSI GCC; applies via careers portal (no public email) - https://bhanzu.com/careers; offices: Bengaluru
Applied Materials,Ask_Employment@appliedmaterials.com,Team,Contact,Bengaluru,Karnataka,Semiconductor,email Ask_Employment@appliedmaterials.com from existing repo list (domain match); Semiconductor; applies via careers portal (no public email) - https://careers.appliedmaterials.com/careers; offices: Bengaluru
Aptiv,guruprasanna.marimuthu@aptiv.com,Team,Contact,Bengaluru,Karnataka,Automotive GCC,email guruprasanna.marimuthu@aptiv.com from existing repo list (domain match); Automotive GCC; applies via careers portal (no public email) - https://aptiv.com/careers; offices: Bengaluru
ARM,freshersblr@arm.com,Team,Contact,Bengaluru,Karnataka,Semiconductor,email freshersblr@arm.com from existing repo list (domain match); Semiconductor; applies via careers portal (no public email) - https://pharmeasy.in/careers/; offices: Bengaluru/Noida
AT&T,arvind.kumar1@intl.att.com,Team,Contact,Bengaluru,Karnataka,Telecom GCC,email arvind.kumar1@intl.att.com from existing repo list (domain match); Telecom GCC; applies via careers portal (no public email) - https://att.com/careers; offices: Bengaluru/Hyderabad
Atlassian,rlaxmiramana@atlassian.com,Team,Contact,Bengaluru,Karnataka,Product/tech,email rlaxmiramana@atlassian.com from existing repo list (domain match); Product/tech; applies via careers portal (no public email) - https://www.atlassian.com/company/careers/all-jobs; offices: Bengaluru
Aviva,,,,Bengaluru,Karnataka,Insurance GCC,Insurance GCC; applies via careers portal (no public email) - https://aviva.com/careers; offices: Bengaluru
Baker Hughes,,,,Bengaluru,Karnataka,Energy GCC,Energy GCC; applies via careers portal (no public email) - https://bakerhughes.com/careers; offices: Bengaluru/Mumbai
Baxter,,,,Bengaluru,Karnataka,Medtech GCC,Medtech GCC; applies via careers portal (no public email) - https://baxter.com/careers; offices: Bengaluru
Bayer,,,,Bengaluru,Karnataka,Pharma GCC,Pharma GCC; applies via careers portal (no public email) - https://bayer.com/careers; offices: Bengaluru
Becton Dickinson,ruchika_kapoor@bd.com,Team,Contact,Bengaluru,Karnataka,Medtech GCC,email ruchika_kapoor@bd.com from existing repo list (domain match); Medtech GCC; applies via careers portal (no public email) - https://bd.com/careers; offices: Bengaluru
Best Buy,,,,Bengaluru,Karnataka,Retail-tech GCC,Retail-tech GCC; applies via careers portal (no public email) - https://bestbuy.com/careers; offices: Bengaluru
Biogen,,,,Bengaluru,Karnataka,Pharma GCC,Pharma GCC; applies via careers portal (no public email) - https://biogen.com/careers; offices: Bengaluru
BMO,,,,Bengaluru,Karnataka,BFSI GCC,BFSI GCC; applies via careers portal (no public email) - https://webmobtech.com/careers/; offices: Bengaluru
BMW TechWorks India,,,,Bengaluru,Karnataka,Automotive GCC,Automotive GCC; applies via careers portal (no public email) - https://bmwtechworks.in/careers; offices: Bengaluru/Chennai/Pune
Boeing India,atisha.pradhan@boeing.com,Atisha Pradhan,International HR business partner,Bengaluru,Karnataka,Aerospace GCC,Vibe Prospecting HR contact (catch_all); Aerospace GCC; applies via careers portal (no public email) - https://boeing.com/careers; offices: Bengaluru/Chennai
Booking.com,,,,Bengaluru,Karnataka,Travel-tech,Travel-tech; applies via careers portal (no public email) - https://careers.booking.com/; offices: Bengaluru
Bosch,Chaithra.B@in.bosch.com,Team,Contact,Bengaluru,Karnataka,Engineering/software,email Chaithra.B@in.bosch.com from existing repo list (domain match); Engineering/software; applies via careers portal (no public email) - https://www.bosch.in/careers/; offices: Bengaluru/Coimbatore/Hyderabad
Brillio,info@brillio.com,Team,Contact,Bengaluru,Karnataka,IT services,email info@brillio.com from existing repo list (domain match); IT services; applies via careers portal (no public email) - https://www.brillio.com/careers/; offices: Bengaluru
Broadcom,jgeorge@broadcom.com,Team,Contact,Bengaluru,Karnataka,Semiconductor,email jgeorge@broadcom.com from existing repo list (domain match); Semiconductor; applies via careers portal (no public email) - https://broadcom.com/careers; offices: Bengaluru/Hyderabad
Broadridge,,,,Bengaluru,Karnataka,BFSI GCC,BFSI GCC; applies via careers portal (no public email) - https://broadridge.com/careers; offices: Bengaluru/Hyderabad
Charter Communications,,,,Bengaluru,Karnataka,Telecom GCC,Telecom GCC; applies via careers portal (no public email) - https://jobs.standardchartered.com/; offices: Bengaluru
Check Point,,,,Bengaluru,Karnataka,Cybersecurity GCC,Cybersecurity GCC; applies via careers portal (no public email) - https://checkpoint.com/careers; offices: Bengaluru
Chevron,manish.jha@chevron.com,Manish Jha,Talent acquisition specialist,Bengaluru,Karnataka,Energy GCC,Vibe Prospecting HR contact (valid); Energy GCC; applies via careers portal (no public email) - https://chevron.com/careers; offices: Bengaluru
Cigna,,,,Bengaluru,Karnataka,Healthcare GCC,Healthcare GCC; applies via careers portal (no public email) - https://cigna.com/careers; offices: Bengaluru/Hyderabad
Cisco,apply-here@cisco.com,Team,Contact,Bengaluru,Karnataka,Product/tech,email apply-here@cisco.com from existing repo list (domain match); Product/tech; applies via careers portal (no public email) - https://jobs.cisco.com/jobs/SearchJobs; offices: Bengaluru/Pune
Cloudera,,,,Bengaluru,Karnataka,Data GCC,Data GCC; applies via careers portal (no public email) - https://cloudera.com/careers; offices: Bengaluru
Cloudflare,,,,Bengaluru,Karnataka,Tech GCC,Tech GCC; applies via careers portal (no public email) - https://cloudflare.com/careers; offices: Bengaluru
Cohesity,megha.jain@cohesity.com,Megha Jain,Associate recruiter,Bengaluru,Karnataka,Product/tech,Vibe Prospecting HR contact (catch_all); Product/tech; applies via careers portal (no public email) - https://www.cohesity.com/company/careers/; offices: Bengaluru/Pune
Collins Aerospace,,,,Bengaluru,Karnataka,Aerospace GCC,Aerospace GCC; applies via careers portal (no public email) - https://collinsaerospace.com/careers; offices: Bengaluru/Hyderabad
Commonwealth Bank,,,,Bengaluru,Karnataka,BFSI GCC,BFSI GCC; applies via careers portal (no public email) - https://commbank.com.au/careers; offices: Bengaluru
Commvault,,,,Bengaluru,Karnataka,Tech GCC,Tech GCC; applies via careers portal (no public email) - https://commvault.com/careers; offices: Bengaluru/Hyderabad
Confluent,abhilash@confluent.io,Team,Contact,Bengaluru,Karnataka,Product/tech,email abhilash@confluent.io from existing repo list (domain match); Product/tech; applies via careers portal (no public email) - https://careers.confluent.io/; offices: Bengaluru
Continental,,,,Bengaluru,Karnataka,Automotive software,Automotive software; applies via careers portal (no public email) - https://continental.com/careers; offices: Bengaluru/Pune
CrowdStrike,,,,Bengaluru,Karnataka,Cybersecurity GCC,Cybersecurity GCC; applies via careers portal (no public email) - https://crowdstrike.com/careers; offices: Bengaluru
CVS Health,,,,Bengaluru,Karnataka,Healthcare GCC,Healthcare GCC; applies via careers portal (no public email) - https://cvshealth.com/careers; offices: Bengaluru/Hyderabad
Danaher,,,,Bengaluru,Karnataka,Industrial GCC,Industrial GCC; applies via careers portal (no public email) - https://danaher.com/careers; offices: Bengaluru
Databricks,sonali.sachan@databricks.com,Team,Contact,Bengaluru,Karnataka,Data/AI product,email sonali.sachan@databricks.com from existing repo list (domain match); Data/AI product; applies via careers portal (no public email) - https://www.databricks.com/company/careers; offices: Bengaluru
Datadog,,,,Bengaluru,Karnataka,Tech GCC,Tech GCC; applies via careers portal (no public email) - https://datadoghq.com/careers; offices: Bengaluru
Decathlon,,,,Bengaluru,Karnataka,Retail-tech GCC,Retail-tech GCC; applies via careers portal (no public email) - https://decathlon.in/careers; offices: Bengaluru
Dell Technologies,ankit_sihare@dell.com,Team,Contact,Bengaluru,Karnataka,Product/tech,email ankit_sihare@dell.com from existing repo list (domain match); Product/tech; applies via careers portal (no public email) - https://jobs.dell.com/; offices: Bengaluru/Hyderabad
Diageo,rohit.maheshwari@diageo.com,Team,Contact,Bengaluru,Karnataka,Consumer GCC,email rohit.maheshwari@diageo.com from existing repo list (domain match); Consumer GCC; applies via careers portal (no public email) - https://diageo.com/careers; offices: Bengaluru
Discover,,,,Bengaluru,Karnataka,BFSI GCC,BFSI GCC; applies via careers portal (no public email) - https://discover.com/careers; offices: Bengaluru
Disney (Star India),,,,Bengaluru,Karnataka,Media/tech GCC,Media/tech GCC; applies via careers portal (no public email) - https://disney.com/careers; offices: Bengaluru/Mumbai
DocuSign,,,,Bengaluru,Karnataka,Tech GCC,Tech GCC; applies via careers portal (no public email) - https://docusign.com/careers; offices: Bengaluru/Chennai
DXC Technology,,,,Bengaluru,Karnataka,IT services,IT services; applies via careers portal (no public email) - https://careers.dxc.com/; offices: Bengaluru/Chennai/Hyderabad
Dynatrace,,,,Bengaluru,Karnataka,Tech GCC,Tech GCC; applies via careers portal (no public email) - https://dynatrace.com/careers; offices: Bengaluru
eBay,nandita@ebay.com,Team,Contact,Bengaluru,Karnataka,E-commerce product,email nandita@ebay.com from existing repo list (domain match); E-commerce product; applies via careers portal (no public email) - https://ebay.com/careers; offices: Bengaluru
Elastic,adhish.thite@elastic.co,Team,Contact,Bengaluru,Karnataka,Tech GCC,email adhish.thite@elastic.co from existing repo list (domain match); Tech GCC; applies via careers portal (no public email) - https://elastic.co/careers; offices: Bengaluru
Elevance Health,,,,Bengaluru,Karnataka,Healthcare GCC,Healthcare GCC; applies via careers portal (no public email) - https://elevancehealth.com/careers; offices: Bengaluru/Gurugram
Eli Lilly,prem.prakash@lilly.com,Team,Contact,Bengaluru,Karnataka,Pharma GCC,email prem.prakash@lilly.com from existing repo list (domain match); Pharma GCC; applies via careers portal (no public email) - https://www.intelivita.com/careers/; offices: Bengaluru
Enbridge,careers@enbridge.com,Talent Acquisition,Careers,Bengaluru,Karnataka,Energy GCC,VERIFIED careers inbox on enbridge.com; MX OK; offices: Bengaluru
Equinor,,,,Bengaluru,Karnataka,Energy GCC,Energy GCC; applies via careers portal (no public email) - https://equinor.com/careers; offices: Bengaluru
Ericsson,ravirajgouda.patil@ericsson.com,Team,Contact,Bengaluru,Karnataka,Telecom/product,email ravirajgouda.patil@ericsson.com from existing repo list (domain match); Telecom/product; applies via careers portal (no public email) - https://www.ericsson.com/en/careers; offices: Bengaluru/Chennai/Gurugram
ExxonMobil,,,,Bengaluru,Karnataka,Energy GCC,Energy GCC; applies via careers portal (no public email) - https://exxonmobil.com/careers; offices: Bengaluru
EY,lokesh.dhingra1@in.ey.com,Team,Contact,Bengaluru,Karnataka,Consulting/tech,email lokesh.dhingra1@in.ey.com from existing repo list (domain match); Consulting/tech; applies via careers portal (no public email) - https://www.quadeye.com/careers; offices: Bengaluru/Gurugram/Kochi
Fidelity Investments,shana.khan.khan@fidelity.com,Team,Contact,Bengaluru,Karnataka,BFSI tech,email shana.khan.khan@fidelity.com from existing repo list (domain match); BFSI tech; applies via careers portal (no public email) - https://jobs.fidelity.com/; offices: Bengaluru/Chennai
Flipkart,ishtiyaque.ansari@flipkart.com,Team,Contact,Bengaluru,Karnataka,E-commerce product,email ishtiyaque.ansari@flipkart.com from existing repo list (domain match); E-commerce product; applies via careers portal (no public email) - https://www.flipkartcareers.com/; offices: Bengaluru
Fortinet,,,,Bengaluru,Karnataka,Cybersecurity GCC,Cybersecurity GCC; applies via careers portal (no public email) - https://fortinet.com/careers; offices: Bengaluru
Fractal Analytics,niranjan.gupta@fractal.ai,Team,Contact,Bengaluru,Karnataka,Analytics/AI,email niranjan.gupta@fractal.ai from existing repo list (domain match); Analytics/AI; applies via careers portal (no public email) - https://fractal.ai/careers/; offices: Bengaluru/Mumbai/Gurugram
GE Aerospace,,,,Bengaluru,Karnataka,Engineering,Engineering; applies via careers portal (no public email) - https://www.capgemini.com/in-en/careers/career-paths/students-and-graduates/; offices: Bengaluru
GE HealthCare,,,,Bengaluru,Karnataka,Medtech GCC,Medtech GCC; applies via careers portal (no public email) - https://www.capgemini.com/in-en/careers/career-paths/students-and-graduates/; offices: Bengaluru
GlobalLogic,careers@globallogic.com,Talent Acquisition,Careers,Bengaluru,Karnataka,Digital engineering,VERIFIED careers inbox on globallogic.com; MX OK; offices: Bengaluru/Hyderabad/Pune/Nagpur
GM,cyril.george@gm.com,Team,Contact,Bengaluru,Karnataka,Automotive GCC,email cyril.george@gm.com from existing repo list (domain match); Automotive GCC; applies via careers portal (no public email) - https://www.mu-sigma.com/careers; offices: Bengaluru
Goldman Sachs,sravani.koran@gs.com,Sravani Koran,Human capital management,Bengaluru,Karnataka,BFSI tech,Vibe Prospecting HR contact (valid); BFSI tech; applies via careers portal (no public email) - https://www.goldmansachs.com/careers/students/; offices: Bengaluru/Hyderabad
Google,freshers@google.com,Team,Contact,Bengaluru,Karnataka,Product/tech,email freshers@google.com from existing repo list (domain match); Product/tech; applies via careers portal (no public email) - https://www.google.com/about/careers/applications/jobs/results/?location=India&employment_type=INTERN; offices: Bengaluru/Hyderabad/Gurugram
GSK,management.trainee@gsk.com,Team,Contact,Bengaluru,Karnataka,Pharma GCC,email management.trainee@gsk.com from existing repo list (domain match); Pharma GCC; applies via careers portal (no public email) - https://gsk.com/careers; offices: Bengaluru
Guidewire,akumar@guidewire.com,Team,Contact,Bengaluru,Karnataka,Insurtech GCC,email akumar@guidewire.com from existing repo list (domain match); Insurtech GCC; applies via careers portal (no public email) - https://guidewire.com/careers; offices: Bengaluru
H&M,,,,Bengaluru,Karnataka,Retail-tech GCC,Retail-tech GCC; applies via careers portal (no public email) - https://hm.com/careers; offices: Bengaluru
Haleon,jagadish.kakhandaki@haleon.com,Team,Contact,Bengaluru,Karnataka,Consumer GCC,email jagadish.kakhandaki@haleon.com from existing repo list (domain match); Consumer GCC; applies via careers portal (no public email) - https://haleon.com/careers; offices: Bengaluru
Happiest Minds,anjali.kashyap@happiestminds.com,Team,Contact,Bengaluru,Karnataka,IT services,email anjali.kashyap@happiestminds.com from existing repo list (domain match); IT services; applies via careers portal (no public email) - https://www.happiestminds.com/careers/; offices: Bengaluru/Pune/Noida
Harman,ameya.bodhankar@harman.com,Team,Contact,Bengaluru,Karnataka,Automotive/audio GCC,email ameya.bodhankar@harman.com from existing repo list (domain match); Automotive/audio GCC; applies via careers portal (no public email) - https://harman.com/careers; offices: Bengaluru/Pune
Home Depot,,,,Bengaluru,Karnataka,Retail-tech GCC,Retail-tech GCC; applies via careers portal (no public email) - https://homedepot.com/careers; offices: Bengaluru
Honeywell,career@hiso.honeywell.com,Team,Contact,Bengaluru,Karnataka,Engineering/tech,email career@hiso.honeywell.com from existing repo list (domain match); Engineering/tech; applies via careers portal (no public email) - https://careers.honeywell.com/us/en/india-jobs; offices: Bengaluru/Hyderabad/Pune/Madurai
HPE,,,,Bengaluru,Karnataka,Product/tech,Product/tech; applies via careers portal (no public email) - https://hpe.com/careers; offices: Bengaluru
HubSpot,,,,Bengaluru,Karnataka,Tech GCC,Tech GCC; applies via careers portal (no public email) - https://hubspot.com/careers; offices: Bengaluru
Humana,,,,Bengaluru,Karnataka,Healthcare GCC,Healthcare GCC; applies via careers portal (no public email) - https://humana.com/careers; offices: Bengaluru
IBM,careers@in.ibm.com,Team,Contact,Bengaluru,Karnataka,Product/IT,email careers@in.ibm.com from existing repo list (domain match); Product/IT; applies via careers portal (no public email) - https://www.ibm.com/in-en/careers/career-opportunities; offices: Bengaluru/Hyderabad/Pune/Kochi
ICON plc,,,,Bengaluru,Karnataka,Clinical-research GCC,Clinical-research GCC; applies via careers portal (no public email) - https://www.tessolve.com/careers/; offices: Bengaluru/Chennai
IKEA,,,,Bengaluru,Karnataka,Retail-tech GCC,Retail-tech GCC; applies via careers portal (no public email) - https://ikea.com/careers; offices: Bengaluru
Illumina,,,,Bengaluru,Karnataka,Life-sciences GCC,Life-sciences GCC; applies via careers portal (no public email) - https://illumina.com/careers; offices: Bengaluru
Infineon,igp.bangalore@infineon.com,Team,Contact,Bengaluru,Karnataka,Semiconductor GCC,email igp.bangalore@infineon.com from existing repo list (domain match); Semiconductor GCC; applies via careers portal (no public email) - https://infineon.com/careers; offices: Bengaluru/Pune
Informatica,jobs@informatica.com,Team,Contact,Bengaluru,Karnataka,Data product,email jobs@informatica.com from existing repo list (domain match); Data product; applies via careers portal (no public email) - https://informatica.com/careers; offices: Bengaluru
Infosys,freshers@infosys.com,Team,Contact,Bengaluru,Karnataka,IT services,email freshers@infosys.com from existing repo list (domain match); IT services; applies via careers portal (no public email) - https://www.infosys.com/careers/graduates.html; offices: Bengaluru/Pune/Hyderabad/Mysuru
ING,,,,Bengaluru,Karnataka,BFSI GCC,BFSI GCC; applies via careers portal (no public email) - https://www.smartsensesolutions.com/career; offices: Bengaluru/Chennai
Intel,akshatha.rao@intel.com,Team,Contact,Bengaluru,Karnataka,Semiconductor,email akshatha.rao@intel.com from existing repo list (domain match); Semiconductor; applies via careers portal (no public email) - https://www.intel.com/content/www/us/en/jobs/locations/india.html; offices: Bengaluru/Hyderabad
IQVIA,manoj.a@iqvia.com,Team,Contact,Bengaluru,Karnataka,Healthcare/pharma GCC,email manoj.a@iqvia.com from existing repo list (domain match); Healthcare/pharma GCC; applies via careers portal (no public email) - https://iqvia.com/careers; offices: Bengaluru/Kochi/Thane
JPMorgan Chase,punya.balakrishnan@jpmchase.com,Punya Balakrishnan,Assistant vice president - recruiting,Bengaluru,Karnataka,BFSI tech,Vibe Prospecting HR contact (catch_all); BFSI tech; applies via careers portal (no public email) - https://careers.jpmorgan.com/global/en/students; offices: Bengaluru/Hyderabad/Mumbai
Juniper Networks,,,,Bengaluru,Karnataka,Tech GCC,Tech GCC; applies via careers portal (no public email) - https://careers.juniper.net/; offices: Bengaluru
Kimberly-Clark,pardha.kommisetti@kimberly-clark.com,Team,Contact,Bengaluru,Karnataka,Consumer GCC,email pardha.kommisetti@kimberly-clark.com from existing repo list (domain match); Consumer GCC; applies via careers portal (no public email) - https://kimberly-clark.com/careers; offices: Bengaluru/Pune
KPMG,,,,Bengaluru,Karnataka,Consulting/tech,Consulting/tech; applies via careers portal (no public email) - https://kpmg.com/careers; offices: Bengaluru/Gurugram
Kroger,,,,Bengaluru,Karnataka,Retail-tech GCC,Retail-tech GCC; applies via careers portal (no public email) - https://thekrogerco.com/careers; offices: Bengaluru
Labcorp,,,,Bengaluru,Karnataka,Life-sciences GCC,Life-sciences GCC; applies via careers portal (no public email) - https://labcorp.com/careers; offices: Bengaluru
Lam Research,,,,Bengaluru,Karnataka,Semiconductor GCC,Semiconductor GCC; applies via careers portal (no public email) - https://superkalam.com; offices: Bengaluru
Liberty Mutual,,,,Bengaluru,Karnataka,Insurance GCC,Insurance GCC; applies via careers portal (no public email) - https://libertymutual.com/careers; offices: Bengaluru
Lowes India,sravana.pisupati@lowes.com,Team,Contact,Bengaluru,Karnataka,Retail-tech GCC,email sravana.pisupati@lowes.com from existing repo list (domain match); Retail-tech GCC; applies via careers portal (no public email) - https://lowes.com/careers; offices: Bengaluru
Magna,,,,Bengaluru,Karnataka,Automotive GCC,Automotive GCC; applies via careers portal (no public email) - https://magna.com/careers; offices: Bengaluru/Pune
Manulife,,,,Bengaluru,Karnataka,Insurance GCC,Insurance GCC; applies via careers portal (no public email) - https://manulife.com/careers; offices: Bengaluru
McKesson,,,,Bengaluru,Karnataka,Healthcare GCC,Healthcare GCC; applies via careers portal (no public email) - https://mckesson.com/careers; offices: Bengaluru
Mercedes-Benz R&D India,,,,Bengaluru,Karnataka,Automotive GCC,Automotive GCC; applies via careers portal (no public email) - https://mercedes-benz.com/careers; offices: Bengaluru
Merck,,,,Bengaluru,Karnataka,Pharma GCC,Pharma GCC; applies via careers portal (no public email) - https://merck.com/careers; offices: Bengaluru
Morgan Stanley,anita.agrawal@morganstanley.com,Team,Contact,Bengaluru,Karnataka,BFSI tech,email anita.agrawal@morganstanley.com from existing repo list (domain match); BFSI tech; applies via careers portal (no public email) - https://careers.jpmorgan.com/global/en/students; offices: Bengaluru/Mumbai
Mphasis,career@mphasis.com,Team,Contact,Bengaluru,Karnataka,IT services,email career@mphasis.com from existing repo list (domain match); IT services; applies via careers portal (no public email) - https://careers.mphasis.com/home/hot-jobs/location-search/india.html; offices: Bengaluru/Pune/Chennai
Mu Sigma,,,,Bengaluru,Karnataka,Analytics,Analytics; applies via careers portal (no public email) - https://www.mu-sigma.com/careers; offices: Bengaluru
MUFG,,,,Bengaluru,Karnataka,BFSI GCC,BFSI GCC; applies via careers portal (no public email) - https://mufg.jp/careers; offices: Bengaluru
Nationwide,,,,Bengaluru,Karnataka,Insurance GCC,Insurance GCC; applies via careers portal (no public email) - https://nationwide.com/careers; offices: Bengaluru
NBCUniversal,,,,Bengaluru,Karnataka,Media/tech GCC,Media/tech GCC; applies via careers portal (no public email) - https://nbcuniversal.com/careers; offices: Bengaluru
